year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,party_simplified,vote_percentage
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,1070440,1949931,20210113,DEMOCRAT,54.89630145887213
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,819395,1949931,20210113,REPUBLICAN,42.02174333348206
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",MCCARTHY '76,0.0,35490,1949931,20210113,OTHER,1.82006440227885
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,13592,1949931,20210113,OTHER,0.6970503058826184
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,4149,1949931,20210113,OTHER,0.21277675979303884
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,3529,1949931,20210113,LIBERTARIAN,0.18098076290904652
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,1092,1949931,20210113,OTHER,0.05600198160858
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"WRIGHT, MARGARET",PEOPLE'S,0.0,635,1949931,20210113,OTHER,0.032565254873121154
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INTERNATIONAL DEVELOPMENT BANK,0.0,543,1949931,20210113,OTHER,0.027847139206464228
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",INDUSTRIAL GOVERNMENT PARTY,0.0,370,1949931,20210113,OTHER,0.018975030398511537
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"ZEIDLER, FRANK",SOCIALIST,0.0,354,1949931,20210113,OTHER,0.018154488543440768
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,Unknown Candidate,Unknown Party,1.0,342,1949931,20210113,OTHER,0.01753908215213769
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,381329,768390,20210113,DEMOCRAT,49.62701232447065
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,366846,768390,20210113,REPUBLICAN,47.74216218326631
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,6678,768390,20210113,OTHER,0.8690899152773981
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,4074,768390,20210113,OTHER,0.5301995080623121
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,4049,768390,20210113,OTHER,0.5269459519254546
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,2805,768390,20210113,OTHER,0.36504899855542106
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,2609,768390,20210113,LIBERTARIAN,0.3395411184424576
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,998387,1953600,20210113,DEMOCRAT,51.10498566748567
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,927443,1953600,20210113,REPUBLICAN,47.47353603603604
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,24029,1953600,20210113,OTHER,1.2299856674856675
1976,MISSOURI,MO,29,43,34,US PRESIDENT,OTHER,Unknown Party,0.0,3741,1953600,20210113,OTHER,0.191492628992629
1976,MONTANA,MT,30,81,64,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,173703,328734,20210113,REPUBLICAN,52.839986128602455
1976,MONTANA,MT,30,81,64,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,149259,328734,20210113,DEMOCRAT,45.40418697183741
1976,MONTANA,MT,30,81,64,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,5772,328734,20210113,OTHER,1.7558268995601307
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,359219,606749,20210113,REPUBLICAN,59.20388826351588
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,233293,606749,20210113,DEMOCRAT,38.449671940126805
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,9383,606749,20210113,OTHER,1.5464384778549285
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,3378,606749,20210113,OTHER,0.5567376295634603
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,1476,606749,20210113,LIBERTARIAN,0.24326368893891875
1976,NEVADA,NV,32,88,65,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,101273,201876,20210113,REPUBLICAN,50.16594345043492
1976,NEVADA,NV,32,88,65,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,92479,201876,20210113,DEMOCRAT,45.80980403812241
1976,NEVADA,NV,32,88,65,US PRESIDENT,OTHER,Unknown Party,0.0,5108,201876,20210113,OTHER,2.530266103944996
1976,NEVADA,NV,32,88,65,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,1519,201876,20210113,LIBERTARIAN,0.752442093166102
1976,NEVADA,NV,32,88,65,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,1497,201876,20210113,OTHER,0.7415443143315699
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,185935,339627,20210113,REPUBLICAN,54.74682519352113
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,147645,339627,20210113,DEMOCRAT,43.472692100451376
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,4095,339627,20210113,OTHER,1.205734526406911
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,936,339627,20210113,LIBERTARIAN,0.27559646317872255
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,SCATTERING,Unknown Party,0.0,603,339627,20210113,OTHER,0.1775477214709078
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,186,339627,20210113,OTHER,0.05476596383679743
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,161,339627,20210113,OTHER,0.04740494719206659
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,0.0,66,339627,20210113,OTHER,0.01943308394208941
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,1509688,3014472,20210113,REPUBLICAN,50.08134094461651
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,1444653,3014472,20210113,DEMOCRAT,47.92391503387658
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,32717,3014472,20210113,OTHER,1.0853310297790126
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,9449,3014472,20210113,LIBERTARIAN,0.3134545618602528
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,7716,3014472,20210113,OTHER,0.25596522376057895
